StationCode,PositionName,City,Province
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3075A,南澳县子站（厦门金砖）,汕头市,广东
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3076A,瑞金市历史博物馆（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3077A,定南县残联康复中心（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3078A,定南县环保局（厦门金砖）,赣州市,江西
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
3079A,前廊村（厦门金砖）,泉州市,福建
